Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
55:49.6,344.87,55:49.6,62.434,55:49.6,0.195676
55:49.7,344.83,55:49.7,62.3242,55:49.7,0.195556
55:49.8,344.85,55:49.8,62.4457,55:49.8,0.195232
55:49.9,344.896,55:49.9,62.3808,55:49.9,0.195918
55:50.0,344.863,55:50.0,62.4236,55:50.0,0.19534
55:50.1,344.825,55:50.1,62.2773,55:50.1,0.195657
55:50.2,344.946,55:50.2,62.2746,55:50.2,0.195639
55:50.3,344.849,55:50.3,62.3575,55:50.3,0.195676
55:50.4,344.978,55:50.4,62.3566,55:50.4,0.195723
55:50.5,344.947,55:50.5,62.3743,55:50.5,0.195309
55:50.6,344.829,55:50.6,62.1952,55:50.6,0.195753
55:50.7,344.84,55:50.7,62.2139,55:50.7,0.195505
55:50.8,344.86,55:50.8,62.3637,55:50.8,0.195847
55:50.9,344.727,55:50.9,62.2757,55:50.9,0.195485
55:51.0,344.85,55:51.0,62.3342,55:51.0,0.195308
55:51.1,344.928,55:51.1,62.2203,55:51.1,0.19523
55:51.2,344.899,55:51.2,62.268,55:51.2,0.195619
55:51.3,344.889,55:51.3,62.2663,55:51.3,0.195742
55:51.4,344.891,55:51.4,62.3905,55:51.4,0.195811
55:51.5,344.856,55:51.5,62.2717,55:51.5,0.195692
55:51.6,344.903,55:51.6,62.4881,55:51.6,0.195932
55:51.7,344.872,55:51.7,62.39,55:51.7,0.195196
55:51.8,344.875,55:51.8,62.3075,55:51.8,0.195711
55:51.9,344.964,55:51.9,62.2685,55:51.9,0.196005
55:52.0,344.917,55:52.0,62.2863,55:52.0,0.194903
55:52.1,344.897,55:52.1,62.5061,55:52.1,0.195243
55:52.2,344.912,55:52.2,62.4769,55:52.2,0.195126
55:52.3,344.919,55:52.3,62.2479,55:52.3,0.195436
55:52.4,344.907,55:52.4,62.271,55:52.4,0.195696
55:52.5,344.843,55:52.5,62.2975,55:52.5,0.195321
55:52.6,344.928,55:52.6,62.3295,55:52.6,0.195143
55:52.7,344.911,55:52.7,62.3083,55:52.7,0.195569
55:52.8,344.895,55:52.8,62.2519,55:52.8,0.195802
55:52.9,344.855,55:52.9,62.3297,55:52.9,0.195277
55:53.0,344.874,55:53.0,62.2486,55:53.0,0.195196
55:53.1,344.86,55:53.1,62.4056,55:53.1,0.195696
55:53.2,344.857,55:53.2,62.06,55:53.2,0.195661
55:53.3,344.918,55:53.3,62.3416,55:53.3,0.195612
55:53.4,344.905,55:53.4,62.2728,55:53.4,0.194552
55:53.5,344.951,55:53.5,62.4577,55:53.5,0.19543
55:53.6,344.82,55:53.6,62.2374,55:53.6,0.195428
55:53.7,344.847,55:53.7,62.4403,55:53.7,0.195256
55:53.8,344.923,55:53.8,62.4714,55:53.8,0.195759
55:53.9,344.921,55:53.9,62.3374,55:53.9,0.195284
55:54.0,344.882,55:54.0,62.3103,55:54.0,0.195597
55:54.1,344.866,55:54.1,62.3043,55:54.1,0.195357
