Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
17:26.8,502.679,17:26.8,329.298,17:26.8,1.99111
17:26.9,502.802,17:26.9,329.295,17:26.9,1.99135
17:27.0,502.735,17:27.0,329.291,17:27.0,1.99114
17:27.1,502.735,17:27.1,329.095,17:27.1,1.99061
17:27.2,502.719,17:27.2,329.208,17:27.2,1.99075
17:27.3,502.881,17:27.3,329.202,17:27.3,1.99131
17:27.4,502.802,17:27.4,329.031,17:27.4,1.99141
17:27.5,502.774,17:27.5,329.115,17:27.5,1.99134
17:27.6,502.767,17:27.6,328.902,17:27.6,1.9913
17:27.7,502.879,17:27.7,328.887,17:27.7,1.99106
17:27.8,502.857,17:27.8,328.844,17:27.8,1.99109
17:27.9,502.783,17:27.9,328.783,17:27.9,1.99115
17:28.0,502.855,17:28.0,328.719,17:28.0,1.99108
17:28.1,502.876,17:28.1,328.634,17:28.1,1.99121
17:28.2,502.851,17:28.2,328.428,17:28.2,1.99158
17:28.3,502.891,17:28.3,328.399,17:28.3,1.99136
17:28.4,502.87,17:28.4,328.268,17:28.4,1.99137
17:28.5,503.009,17:28.5,327.998,17:28.5,1.99154
17:28.6,503.07,17:28.6,328.107,17:28.6,1.99113
17:28.7,503.061,17:28.7,327.788,17:28.7,1.99113
17:28.8,503.066,17:28.8,327.524,17:28.8,1.99175
17:28.9,503.198,17:28.9,327.501,17:28.9,1.99134
17:29.0,503.149,17:29.0,327.458,17:29.0,1.9916
17:29.1,503.431,17:29.1,327.073,17:29.1,1.99186
17:29.2,503.574,17:29.2,326.65,17:29.2,1.99114
17:29.3,503.641,17:29.3,326.31,17:29.3,1.99179
17:29.4,503.804,17:29.4,326.128,17:29.4,1.99165
17:29.5,503.822,17:29.5,325.973,17:29.5,1.99134
17:29.6,504.045,17:29.6,325.652,17:29.6,1.99172
17:29.7,504.075,17:29.7,325.571,17:29.7,1.99174
17:29.8,504.218,17:29.8,325.373,17:29.8,1.99139
17:29.9,504.338,17:29.9,325.037,17:29.9,1.99167
17:30.0,504.356,17:30.0,324.952,17:30.0,1.9914
17:30.1,504.452,17:30.1,324.713,17:30.1,1.99164
17:30.2,504.647,17:30.2,324.502,17:30.2,1.99183
17:30.3,504.682,17:30.3,324.342,17:30.3,1.99146
17:30.4,504.849,17:30.4,324.051,17:30.4,1.9915
17:30.5,505.034,17:30.5,323.593,17:30.5,1.99155
17:30.6,505.244,17:30.6,323.254,17:30.6,1.99158
17:30.7,505.545,17:30.7,322.932,17:30.7,1.99122
17:30.8,505.717,17:30.8,322.709,17:30.8,1.99124
17:30.9,505.841,17:30.9,322.267,17:30.9,1.99117
17:31.0,506.103,17:31.0,322.02,17:31.0,1.99146
17:31.1,506.097,17:31.1,321.74,17:31.1,1.99111
17:31.2,506.462,17:31.2,321.465,17:31.2,1.99131
17:31.3,506.637,17:31.3,321.106,17:31.3,1.99168
17:31.4,506.869,17:31.4,320.649,17:31.4,1.99179
17:31.5,507.009,17:31.5,320.281,17:31.5,1.9916
17:31.6,507.352,17:31.6,319.804,17:31.6,1.99125
17:31.7,507.523,17:31.7,319.474,17:31.7,1.99117
17:31.8,507.754,17:31.8,319.12,17:31.8,1.99089
17:31.9,508.039,17:31.9,318.617,17:31.9,1.99103
17:32.0,508.273,17:32.0,318.467,17:32.0,1.99117
17:32.1,508.481,17:32.1,317.996,17:32.1,1.99157
17:32.2,508.658,17:32.2,317.748,17:32.2,1.99121
17:32.3,508.966,17:32.3,316.957,17:32.3,1.99134
17:32.4,509.32,17:32.4,316.688,17:32.4,1.99131
17:32.5,509.634,17:32.5,315.91,17:32.5,1.99128
17:32.6,509.926,17:32.6,315.558,17:32.6,1.99155
17:32.7,510.291,17:32.7,314.963,17:32.7,1.9907
17:32.8,510.624,17:32.8,314.484,17:32.8,1.99148
17:32.9,510.971,17:32.9,314.117,17:32.9,1.9911
17:33.0,511.183,17:33.0,313.67,17:33.0,1.99147
17:33.1,511.554,17:33.1,312.883,17:33.1,1.99127
17:33.2,511.942,17:33.2,312.397,17:33.2,1.99109
17:33.3,512.355,17:33.3,311.518,17:33.3,1.99169
17:33.4,512.891,17:33.4,310.857,17:33.4,1.99147
17:33.5,513.226,17:33.5,310.074,17:33.5,1.99158
17:33.6,513.633,17:33.6,309.72,17:33.6,1.99147
17:33.7,513.994,17:33.7,308.903,17:33.7,1.99123
17:33.8,514.271,17:33.8,308.377,17:33.8,1.99117
17:33.9,514.704,17:33.9,307.825,17:33.9,1.99153
17:34.0,514.936,17:34.0,307.088,17:34.0,1.99142
17:34.1,515.35,17:34.1,306.72,17:34.1,1.99122
17:34.2,515.737,17:34.2,306.249,17:34.2,1.99135
17:34.3,516.213,17:34.3,305.541,17:34.3,1.99118
17:34.4,516.486,17:34.4,305.287,17:34.4,1.99152
17:34.5,516.907,17:34.5,304.58,17:34.5,1.99147
17:34.6,517.289,17:34.6,303.991,17:34.6,1.99161
17:34.7,517.657,17:34.7,303.357,17:34.7,1.99192
17:34.8,517.87,17:34.8,303.05,17:34.8,1.99147
17:34.9,518.253,17:34.9,302.378,17:34.9,1.99157
17:35.0,518.651,17:35.0,302.003,17:35.0,1.9917
17:35.1,518.971,17:35.1,301.321,17:35.1,1.99151
17:35.2,519.245,17:35.2,300.998,17:35.2,1.99184
17:35.3,519.685,17:35.3,300.148,17:35.3,1.99197
17:35.4,520.11,17:35.4,299.784,17:35.4,1.99138
17:35.5,520.305,17:35.5,299.422,17:35.5,1.9921
17:35.6,520.599,17:35.6,298.805,17:35.6,1.99178
17:35.7,520.879,17:35.7,298.444,17:35.7,1.99204
17:35.8,521.23,17:35.8,297.936,17:35.8,1.99212
17:35.9,521.519,17:35.9,297.296,17:35.9,1.99241
17:36.0,521.848,17:36.0,296.725,17:36.0,1.99247
17:36.1,522.247,17:36.1,296.521,17:36.1,1.99231
17:36.2,522.538,17:36.2,295.62,17:36.2,1.99203
17:36.3,522.964,17:36.3,295.142,17:36.3,1.99206
17:36.4,523.103,17:36.4,294.971,17:36.4,1.99192
17:36.5,523.429,17:36.5,294.227,17:36.5,1.99223
17:36.6,523.86,17:36.6,293.96,17:36.6,1.9927
17:36.7,523.934,17:36.7,293.493,17:36.7,1.99224
17:36.8,524.233,17:36.8,292.869,17:36.8,1.99262
17:36.9,524.598,17:36.9,292.564,17:36.9,1.99234
17:37.0,524.926,17:37.0,291.834,17:37.0,1.99244
17:37.1,525.204,17:37.1,291.54,17:37.1,1.99303
17:37.2,525.509,17:37.2,290.991,17:37.2,1.99273
17:37.3,525.653,17:37.3,290.5,17:37.3,1.99292
17:37.4,526.034,17:37.4,290.047,17:37.4,1.99303
17:37.5,526.448,17:37.5,289.573,17:37.5,1.99338
17:37.6,526.636,17:37.6,289.258,17:37.6,1.99278
17:37.7,526.953,17:37.7,288.634,17:37.7,1.99317
17:37.8,527.178,17:37.8,287.934,17:37.8,1.9931
17:37.9,527.383,17:37.9,287.593,17:37.9,1.99321
17:38.0,527.849,17:38.0,287.026,17:38.0,1.9934
17:38.1,528.11,17:38.1,286.55,17:38.1,1.99269
17:38.2,528.394,17:38.2,285.798,17:38.2,1.99358
17:38.3,528.958,17:38.3,284.509,17:38.3,1.99325
17:38.4,529.464,17:38.4,283.517,17:38.4,1.99337
17:38.5,529.805,17:38.5,282.665,17:38.5,1.99356
17:38.6,530.22,17:38.6,282.174,17:38.6,1.99347
17:38.7,530.539,17:38.7,281.613,17:38.7,1.99331
17:38.8,530.749,17:38.8,280.758,17:38.8,1.99347
17:38.9,531.169,17:38.9,279.971,17:38.9,1.99338
17:39.0,531.517,17:39.0,279.339,17:39.0,1.99412
17:39.1,531.871,17:39.1,278.568,17:39.1,1.99343
17:39.2,532.18,17:39.2,277.946,17:39.2,1.99417
17:39.3,532.52,17:39.3,277.327,17:39.3,1.99401
17:39.4,532.887,17:39.4,276.589,17:39.4,1.9938
17:39.5,533.214,17:39.5,276.132,17:39.5,1.9942
17:39.6,533.391,17:39.6,275.46,17:39.6,1.99422
17:39.7,533.769,17:39.7,274.767,17:39.7,1.9946
17:39.8,534.108,17:39.8,274.137,17:39.8,1.9946
17:39.9,534.418,17:39.9,273.635,17:39.9,1.99431
17:40.0,534.718,17:40.0,272.721,17:40.0,1.99488
17:40.1,534.994,17:40.1,272.144,17:40.1,1.99555
17:40.2,535.359,17:40.2,271.442,17:40.2,1.9949
17:40.3,535.611,17:40.3,270.692,17:40.3,1.99481
17:40.4,536.068,17:40.4,270.087,17:40.4,1.99528
17:40.5,536.191,17:40.5,269.31,17:40.5,1.99532
17:40.6,536.711,17:40.6,268.628,17:40.6,1.99551
17:40.7,536.989,17:40.7,268.001,17:40.7,1.99564
17:40.8,537.294,17:40.8,267.488,17:40.8,1.99557
17:40.9,537.726,17:40.9,266.866,17:40.9,1.99516
17:41.0,537.973,17:41.0,266.035,17:41.0,1.99548
17:41.1,538.276,17:41.1,265.323,17:41.1,1.9953
17:41.2,538.649,17:41.2,264.815,17:41.2,1.99605
17:41.3,539.041,17:41.3,264.202,17:41.3,1.99589
17:41.4,539.307,17:41.4,263.449,17:41.4,1.99644
17:41.5,539.617,17:41.5,262.933,17:41.5,1.99588
17:41.6,539.976,17:41.6,262.153,17:41.6,1.99623
17:41.7,540.271,17:41.7,261.635,17:41.7,1.9957
17:41.8,540.619,17:41.8,260.967,17:41.8,1.99646
17:41.9,540.906,17:41.9,260.555,17:41.9,1.9961
17:42.0,541.28,17:42.0,259.885,17:42.0,1.99641
17:42.1,541.527,17:42.1,259.195,17:42.1,1.99666
17:42.2,541.958,17:42.2,258.477,17:42.2,1.99679
17:42.3,542.283,17:42.3,258.07,17:42.3,1.99639
17:42.4,542.493,17:42.4,257.504,17:42.4,1.99635
17:42.5,542.791,17:42.5,256.739,17:42.5,1.99719
17:42.6,543.136,17:42.6,256.208,17:42.6,1.99637
17:42.7,543.315,17:42.7,255.741,17:42.7,1.99687
17:42.8,543.796,17:42.8,255.015,17:42.8,1.99662
17:42.9,544.132,17:42.9,254.383,17:42.9,1.99712
17:43.0,544.194,17:43.0,253.891,17:43.0,1.99694
17:43.1,544.669,17:43.1,253.294,17:43.1,1.99737
17:43.2,544.907,17:43.2,252.671,17:43.2,1.99726
17:43.3,545.214,17:43.3,252.185,17:43.3,1.99749
17:43.4,545.478,17:43.4,251.85,17:43.4,1.99751
17:43.5,545.809,17:43.5,251.175,17:43.5,1.99763
17:43.6,546.065,17:43.6,250.309,17:43.6,1.99772
17:43.7,546.248,17:43.7,250.015,17:43.7,1.99769
17:43.8,546.68,17:43.8,249.441,17:43.8,1.99787
17:43.9,546.926,17:43.9,249.145,17:43.9,1.99853
17:44.0,547.367,17:44.0,248.28,17:44.0,1.99858
17:44.1,547.517,17:44.1,247.869,17:44.1,1.99864
