Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
04:54.4,497.703,04:54.4,294.49,04:54.4,1.68468
04:54.5,497.763,04:54.5,294.379,04:54.5,1.68424
04:54.6,497.78,04:54.6,294.332,04:54.6,1.68454
04:54.7,497.807,04:54.7,294.424,04:54.7,1.6843
04:54.8,497.768,04:54.8,294.342,04:54.8,1.68427
04:54.9,497.753,04:54.9,294.359,04:54.9,1.68468
04:55.0,497.785,04:55.0,294.364,04:55.0,1.68517
04:55.1,497.698,04:55.1,294.515,04:55.1,1.68457
04:55.2,497.713,04:55.2,294.385,04:55.2,1.68443
04:55.3,497.869,04:55.3,294.394,04:55.3,1.6847
04:55.4,497.749,04:55.4,294.235,04:55.4,1.68444
04:55.5,497.681,04:55.5,294.3,04:55.5,1.68464
04:55.6,497.759,04:55.6,294.296,04:55.6,1.68428
04:55.7,497.698,04:55.7,294.303,04:55.7,1.68508
04:55.8,497.698,04:55.8,294.359,04:55.8,1.68474
04:55.9,497.758,04:55.9,294.418,04:55.9,1.68424
04:56.0,497.824,04:56.0,294.212,04:56.0,1.6844
04:56.1,497.719,04:56.1,294.287,04:56.1,1.68435
04:56.2,497.675,04:56.2,294.385,04:56.2,1.68456
04:56.3,497.802,04:56.3,294.295,04:56.3,1.68458
04:56.4,497.795,04:56.4,294.12,04:56.4,1.68434
04:56.5,497.772,04:56.5,294.464,04:56.5,1.68413
04:56.6,497.739,04:56.6,294.127,04:56.6,1.68459
04:56.7,497.778,04:56.7,294.36,04:56.7,1.6844
04:56.8,497.817,04:56.8,294.292,04:56.8,1.68418
04:56.9,497.813,04:56.9,294.403,04:56.9,1.68449
04:57.0,497.694,04:57.0,294.423,04:57.0,1.68394
04:57.1,497.684,04:57.1,294.347,04:57.1,1.68439
04:57.2,497.742,04:57.2,294.403,04:57.2,1.68437
04:57.3,497.761,04:57.3,294.304,04:57.3,1.68427
04:57.4,497.765,04:57.4,294.496,04:57.4,1.68422
04:57.5,497.69,04:57.5,294.343,04:57.5,1.68459
04:57.6,497.803,04:57.6,294.361,04:57.6,1.6847
04:57.7,497.774,04:57.7,294.306,04:57.7,1.68516
04:57.8,497.726,04:57.8,294.383,04:57.8,1.68459
04:57.9,497.659,04:57.9,294.383,04:57.9,1.68436
04:58.0,497.697,04:58.0,294.503,04:58.0,1.68445
04:58.1,497.735,04:58.1,294.308,04:58.1,1.68422
04:58.2,497.766,04:58.2,294.449,04:58.2,1.68422
04:58.3,497.759,04:58.3,294.367,04:58.3,1.68465
04:58.4,497.743,04:58.4,294.233,04:58.4,1.68445
04:58.5,497.684,04:58.5,294.283,04:58.5,1.68426
04:58.6,497.697,04:58.6,294.201,04:58.6,1.68457
04:58.7,497.663,04:58.7,294.29,04:58.7,1.68501
04:58.8,497.774,04:58.8,294.22,04:58.8,1.68475
04:58.9,497.664,04:58.9,294.134,04:58.9,1.6848
04:59.0,497.619,04:59.0,294.244,04:59.0,1.68433
04:59.1,497.76,04:59.1,294.35,04:59.1,1.68427
04:59.2,497.662,04:59.2,294.464,04:59.2,1.68422
04:59.3,497.691,04:59.3,294.199,04:59.3,1.68505
04:59.4,497.705,04:59.4,294.319,04:59.4,1.68458
04:59.5,497.702,04:59.5,294.326,04:59.5,1.68441
04:59.6,497.638,04:59.6,294.212,04:59.6,1.68435
04:59.7,497.647,04:59.7,294.349,04:59.7,1.68491
04:59.8,497.552,04:59.8,294.234,04:59.8,1.68456
